"Course","Name","Credit Hours"
"CS 124","Introduction to Computer Science I","3"
"CS 128","Introduction to Computer Science II","3"
"CS 173","Discrete Structures","3"
"CS 222","Software Design Lab","1"
"CS 225","Data Structures","4"
"CS 233","Computer Architecture","4"
"CS 341","System Programming","4"
"CS 357","Numerical Methods I","3"
"CS 361","Probability & Statistics for Computer Science","3"
"CS 374","Introduction to Algorithms & Models of Computation","4"
"CS 421","Programming Languages & Compilers","3"
